method,method_kind,case_id,category,fake_record_name,synthetic_input,expected_error_label,actual_error_label,expected_success,actual_success,expected_diagnostic_present,actual_diagnostic_present,expected_line,actual_line,expected_column,actual_column,expected_cleanup_runs,actual_cleanup_runs,expected_errdefer_runs,actual_errdefer_runs,expected_defer_runs,actual_defer_runs,expected_catch_runs,actual_catch_runs,expected_zig_status,actual_zig_status,error_union_observation,diagnostic_observation,errdefer_observation,testing_observation,json_zon_observation,zig_harness_matched,error_union_matched,diagnostic_matched,errdefer_matched,testing_matched,json_zon_observed,debugger_not_run,version_compatibility,production_diagnostics_tested,naive_should_fail,pass,fail_reason,output_bytes,elapsed_ms
preserve_original_case_baseline,baseline,c01_error_union_success,error_union_success_marker,fake_success_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
zig_compiler_discovery_checker,compiler_discovery,c01_error_union_success,error_union_success_marker,fake_success_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
zig_harness_compile_checker,harness_compile,c01_error_union_success,error_union_success_marker,fake_success_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
error_union_observer,error_union,c01_error_union_success,error_union_success_marker,fake_success_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
wrapper_policy_marker,wrapper,c01_error_union_success,error_union_success_marker,fake_success_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
copy_size_timing_marker,timing,c01_error_union_success,error_union_success_marker,fake_success_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
naive_error_policy_marker,naive,c01_error_union_success,error_union_success_marker,fake_success_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
external_error_model_truth_not_tested_marker,external,c01_error_union_success,error_union_success_marker,fake_success_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
preserve_original_case_baseline,baseline,c02_error_union_failure,error_union_failure_marker,fake_failure_case,synthetic_parse_case_err,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,24,0.0
zig_compiler_discovery_checker,compiler_discovery,c02_error_union_failure,error_union_failure_marker,fake_failure_case,synthetic_parse_case_err,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,24,0.0
zig_harness_compile_checker,harness_compile,c02_error_union_failure,error_union_failure_marker,fake_failure_case,synthetic_parse_case_err,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,24,0.0
error_union_observer,error_union,c02_error_union_failure,error_union_failure_marker,fake_failure_case,synthetic_parse_case_err,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,24,0.0
wrapper_policy_marker,wrapper,c02_error_union_failure,error_union_failure_marker,fake_failure_case,synthetic_parse_case_err,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,24,0.0
copy_size_timing_marker,timing,c02_error_union_failure,error_union_failure_marker,fake_failure_case,synthetic_parse_case_err,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,24,0.0
naive_error_policy_marker,naive,c02_error_union_failure,error_union_failure_marker,fake_failure_case,synthetic_parse_case_err,ToyError,ToyError,False,True,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,24,0.0
external_error_model_truth_not_tested_marker,external,c02_error_union_failure,error_union_failure_marker,fake_failure_case,synthetic_parse_case_err,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,24,0.0
preserve_original_case_baseline,baseline,c03_try_propagation,try_propagation_marker,fake_try_case,demo_token_try,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,14,0.0
